College / University,URL,Phone number,Address,Second Address,Email,Notes
Prairie View A & M University,https://www.pvamu.edu/, (936) 261-3311,"700 University Drive, Prairie View, Texas 77446"," P.O. Box 519 - Prairie View, Texas 77446",https://www.pvamu.edu/helpdesk ,
Rust College,http://www.rustcollege.edu/, 662-252-8000,"150 Rust Avenue 
Holly Springs, MS 38635", ,Webmaster@rustcollege.edu,
Saint Augustines College,https://www.st-aug.edu/, 919-516-4000,"315 Oakwood Avenue, Raleigh, NC 27610-2298", ,https://st-aug.edu/marketing.html,
Saint Pauls College,http://www.saintpauls.edu/, ,, ,,Page Not Found
Savannah State University,https://www.savannahstate.edu/, +1 912-358-4338,"3219 College St.
Savannah, GA 31404", ,https://www.savannahstate.edu/contact,
Selma University,http://selmauniversity.org/, ,, ,,Page Not Found
Shaw University,http://www.shawu.edu/, 800.214.6683,"
118 E. South Street | Raleigh, NC 27601", ,admissions@shawu.edu ,
Shelton State Community College,https://www.sheltonstate.edu/, 205.391.2211,"9500 Old Greensboro Rd 
Tuscaloosa, AL 35405 ", ,admissions@sheltonstate.edu,
South Carolina State University,http://www.scsu.edu/, 803-536-7000,"300 College Street NE, Orangeburg SC 29117", ,,
Southern University and A & M College,http://www.subr.edu/, (225) 771-4500,"Baton Rouge, Louisiana
70813", ,janene_tate@sus.edu,
Southern University at New Orleans,http://www.suno.edu/, 504-286-5000,"6400 Press Drive
New Orleans, LA 70126", ,,
Southern University at Shreveport,http://www.susla.edu/, 318.670.6000,"3050 Martin Luther King, Jr. Drive
Shreveport, LA 71107", ,http://www.susla.edu/general-inquiries,
Southwestern Christian College,http://www.swcc.edu/, (972) 524-3341,"P.O. Box 10, Terrell, TX 75160", ,jcath@swcc.edu,
Spelman College,http://www.spelman.edu/, 404-681-3643,"350 Spelman Lane S.W. Atlanta, GA 30314-4399", ,webteam@spelman.edu,
St Philips College,http://www.alamo.edu/spc/, 210-486-2000,"1801 Martin Luther King Drive, San Antonio, Texas"," 800 Quintana Road, San Antonio, Texas ",,
Stillman College,http://stillman.edu/, (205) 366-8817,"3601 Stillman Blvd.
Tuscaloosa, AL 35401", ,http://stillman.edu/about-us/help/,
Talladega College,http://talladega.brinkster.net/joomla25/index.php, 256-761-6100,"Talladega College 627 West Battle Street Talladega, Alabama 35160", ,itsupport@talladega.edu,
Tennessee State University,http://www.tnstate.edu/,(615) 963-5000  ,"3500 John A. Merritt Boulevard 
Nashville, TN 37209", ,admissions@tnstate.edu,
Texas College,https://www.texascollege.edu/," 
    800-306-6299","2404 North Grand Avenue, Tyler, TX 75702", ,,
Texas Southern University,http://www.tsu.edu/home/, 713-313-7011,"3100 Cleburne Street, Houston, TX 77004", ,,
Tougaloo College,http://www.tougaloo.edu/, ,, ,,Page Not Found
Tuskegee University,https://www.tuskegee.edu/, 334-727-8011,"1200 W. Montgomery Rd.
Tuskegee, AL 36088", ,,
University of Arkansas at Pine Bluff,http://www.uapb.edu/, 870-575-8000,"1200 North University Drive
Pine Bluff, AR 71601", ,webadmin@uapb.edu,
University of Maryland Eastern Shore,https://www.umes.edu/home/, (410) 651-7747,"30665 Student Services Center, Princess Anne, MD 21853", ,https://www.umes.edu/ContactUMES/,
University of the District of Columbia,https://www.udc.edu/,202.274.5000 ,"4200 Connecticut Avenue NW
Washington, DC 20008", ,webmaster@udc.edu,
University of the Virgin Islands,https://www.uvi.edu/, (340) 776-9200,"2 John Brewers Bay, St. Thomas, VI 00802", ,online@uvi.edu,
Virginia State University,http://www.vsu.edu/, 804-524-5000,"1 Hayden Dr., Virginia State University, VA 23806", ,,
Virginia Union University,https://www.vuu.edu/, 804-257-5600,"1500 N. Lombardy Street Richmond, VA 23220", ,,
Virginia University of Lynchburg,http://www.vul.edu/, (434) 528-5276,"2058 Garfield Avenue Lynchburg, VA 24501", ,,
Voorhees College,https://www.voorhees.edu/, (803) 780-1234,"213 Wiggins Drive
P.O. Box 678
Denmark, SC 29042", ,info@voorhees.edu,
West Virginia State University,http://www.wvstateu.edu/,  (304) 766-3000,"P.O. Box 1000 Institute, WV 25112-1000", ,webmaster@wvstateu.edu,
Wilberforce University,http://wilberforce.edu/, (937) 376-2911,"1055 N. Bickett Rd.
P.O. Box 1001
Wilberforce, OH 45384", ,http://wilberforce.edu/forms/website-support/,
Wiley College,http://www.wileyc.edu/, 903.927.3300,"711 Wiley Avenue
Marshall, Texas 75670", ,,
Winston-Salem State University,https://www.wssu.edu/, 336-750-2000,"601 S. Martin Luther King Jr. Drive Winston-Salem, NC 27110", ,,
Xavier University of Louisiana,http://www.xula.edu/, 504-520-7411,"1 Drexel Drive
New Orleans, LA 70125", ,apply@xula.edu,
